timestamp,x,y,z
31:04.1,24,940,344
31:04.2,60,944,264
31:04.3,72,896,408
31:04.4,124,1144,-24
31:04.5,84,1028,328
31:04.6,88,1132,384
31:04.7,120,972,80
31:04.8,120,1008,388
31:04.9,116,944,328
31:05.0,124,936,412
31:05.1,152,896,368
31:05.2,144,940,276
31:05.3,168,936,292
31:05.4,160,928,304
31:05.5,156,944,252
31:05.6,140,976,176
31:05.7,116,996,124
31:05.9,92,1008,108
31:06.0,100,1012,140
31:06.1,104,1016,132
31:06.2,88,1032,132
31:06.3,92,1036,108
31:06.4,88,1048,76
31:06.5,84,1040,100
31:06.6,96,1028,52
31:06.7,92,1012,72
31:06.8,96,1044,104
31:06.9,80,1044,44
31:07.0,76,1032,52
31:07.1,64,1048,8
31:07.2,68,1040,40
31:07.3,72,1032,52
31:07.4,72,1044,36
31:07.5,64,1032,44
31:07.6,68,1056,28
31:07.7,12,1120,32
31:07.8,44,1012,76
31:07.9,68,1016,44
31:08.0,76,1048,60
31:08.1,80,1044,48
31:08.2,68,1036,84
31:08.3,80,1040,52
31:08.4,80,1032,76
31:08.5,88,1048,116
31:08.6,80,1036,124
31:08.7,76,1044,32
31:08.8,76,1068,112
31:08.9,72,1068,112
31:09.0,80,1056,92
31:09.1,68,1056,148
31:09.2,68,1052,112
31:09.3,72,1004,140
31:09.4,76,1012,128
31:09.5,48,1080,140
31:09.6,52,1048,144
31:09.7,76,1036,140
31:09.8,88,1048,120
31:09.9,80,1044,144
31:10.0,80,1024,140
31:10.1,68,1008,172
31:10.3,60,1008,172
31:10.4,68,1012,144
31:10.5,56,1004,152
31:10.6,72,1016,144
31:10.7,68,1016,144
31:10.8,72,1024,120
31:10.9,68,1028,180
31:11.0,72,1032,184
31:11.1,64,1036,184
31:11.2,56,1012,204
31:11.3,60,1016,200
31:11.4,76,1032,160
31:11.5,80,1020,188
31:11.6,68,1020,160
31:11.7,100,1024,292
31:11.8,76,1060,140
31:11.9,48,1060,160
31:12.0,40,1032,180
31:12.1,48,1028,172
31:12.2,64,1028,152
31:12.3,64,1020,184
31:12.4,76,1052,152
31:12.5,76,1056,128
31:12.6,88,1032,156
31:12.7,96,1016,152
31:12.8,92,1024,128
31:12.9,80,1052,144
31:13.0,76,1052,112
31:13.1,68,1032,160
31:13.2,60,988,68
31:13.3,72,1012,192
31:13.4,68,1024,260
31:13.5,84,1012,236
31:13.6,76,1008,244
31:13.7,72,980,188
31:13.8,80,992,168
31:13.9,80,1024,164
31:14.0,120,1004,216
31:14.1,152,1008,296
31:14.2,176,976,380
31:14.3,300,972,324
31:14.4,228,992,348
31:14.6,300,944,240
